Order ID,Customer ID,Customer Name,Customer Email,Customer Phone,Order Date,Order Status,Subtotal (inc tax),Subtotal (ex tax),Tax Total,Shipping Cost (inc tax),Shipping Cost (ex tax),Ship Method,Handling Cost (inc tax),Handling Cost (ex tax),Order Total (inc tax),Order Total (ex tax),Payment Method,Total Quantity,Total Shipped,Date Shipped,Order Currency Code,Exchange Rate,Order Notes,Customer Message,Billing First Name,Billing Last Name,Billing Company,Billing Street 1,Billing Street 2,Billing Suburb,Billing State,Billing Zip,Billing Country,Billing Phone,Billing Email,Shipping First Name,Shipping Last Name,Shipping Company,Shipping Street 1,Shipping Street 2,Shipping Suburb,Shipping State,Shipping Zip,Shipping Country,Shipping Phone,Shipping Email,Product Details,Store Credit Redeemed,Gift Certificate Amount Redeemed,Gift Certificate Code,Gift Certificate Expiration Date,Coupon Details,Refund Amount
5505,4224,One One,one@comcast.net,1111111111,11/01/2019,Shipped,29.98,29.98,0,6.99,6.99,Shipping,0,0,36.97,36.97,Authorize.net,2,0,11/01/2019,USD,1,3.17,,One,One,,1 One road,,bedford,NH,3110,United States,1111111111,one@comcast.net,One,One,,1 One road,,bedford,NH,3110,United States,1111111111,one@comcast.net,"Product ID: 127, Product Qty: 2, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 29.98",0,0,,,,0
5506,4225,Two Two,two@comcast.net,2222222222,11/01/2019,Completed,14.99,14.99,0,0,0,,,,14.99,14.99,Authorize.net,1,0,,USD,1,,,Two,Two,,2 Two Street,,Alpharetta,GA,30004,United States,2222222222,two@comcast.net,Two,Two,,2 Two Street,,,,,,2222222222,two@comcast.net,"Product ID: 140, Product Qty: 1, Product SKU: BK_EMedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan E-Book, Product Weight: 0.0000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5507,4226,Three Three,three@usu.edu,3333333333,11/01/2019,Completed,14.99,14.99,0,0,0,,,,14.99,14.99,Authorize.net,1,0,,USD,1,,,Three,Three,,3 Three Street,,Providence,UT,84332,United States,3333333333,three@usu.edu,Three,Three,,3 Three Street,,,,,,3333333333,three@usu.edu,"Product ID: 140, Product Qty: 1, Product SKU: BK_EMedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan E-Book, Product Weight: 0.0000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5508,4227,Four Four,four@neufeldnw.com,4444444444,11/01/2019,Shipped,19.99,19.99,0,3.99,3.99,Shipping,0,0,23.98,23.98,Authorize.net,1,0,14/01/2019,USD,1,2.66,,Four,Four,,4 Four Street,,Bellingham,WA,98225,United States,4444444444,four@neufeldnw.com,Four,Four,,4 Four Street,,Bellingham,WA,98225,United States,4444444444,four@neufeldnw.com,"Product ID: 136, Product Qty: 1, Product SKU: BU_MedBundle, Product Name: Mediterranean Diet Discount Bundle, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 19.99, Product Total Price: 19.99",0,0,,,,0
5509,4228,Five Five,five@gmail.com,5555555555,11/01/2019,Shipped,14.99,14.99,0,3.99,3.99,Shipping,0,0,18.98,18.98,Authorize.net,1,0,14/01/2019,USD,1,2.66,,Five,Five,,5 Five Street,,Granger,IN,46530,United States,5555555555,five@gmail.com,Five,Five,,5 Five Street,,Granger,IN,46530,United States,5555555555,five@gmail.com,"Product ID: 127, Product Qty: 1, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5511,4229,Six Six,six@gmail.com,6666666666,11/01/2019,Completed,14.99,14.99,0,0,0,,,,14.99,14.99,Authorize.net,1,0,,USD,1,,,Six,Six,,6 Six Rd,,Fallbrook,CA,92028,United States,6666666666,six@gmail.com,Six,Six,,6 Six Rd,,,,,,6666666666,six@gmail.com,"Product ID: 140, Product Qty: 1, Product SKU: BK_EMedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan E-Book, Product Weight: 0.0000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5512,4230,Seven Seven,seven@gmail.com,7777777777,12/01/2019,Shipped,29.98,29.98,0,6.99,6.99,Shipping,0,0,36.97,36.97,Authorize.net,2,0,16/01/2019,USD,1,3.17,,Seven,Seven,,7 Seven Blvd,,Hillsborough,CA,94010,United States,7777777777,seven@gmail.com,Seven,Seven,,7 Seven Blvd,,Hillsborough,CA,94010,United States,7777777777,seven@gmail.com,"Product ID: 127, Product Qty: 2, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 29.98",0,0,,,,0
5513,4231,Eight Eight,eight@hotmail.com,8888888888,12/01/2019,Shipped,14.99,14.99,0,3.99,3.99,Shipping,0,0,18.98,18.98,Authorize.net,1,0,16/01/2019,USD,1,2.66,,Eight,Eight,,8 Eight Road,,Moyock,NC,27958,United States,8888888888,eight@hotmail.com,Eight,Eight,,8 Eight Road,,Moyock,NC,27958,United States,8888888888,eight@hotmail.com,"Product ID: 127, Product Qty: 1, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5515,4232,Nine Nine,nine@att.net,9999999999,12/01/2019,Completed,14.99,14.99,0,0,0,,,,14.99,14.99,Authorize.net,1,0,,USD,1,,,Nine,Nine,,9 Nine Way,,Mustang,OK,73064,United States,9999999999,nine@att.net,Nine,Nine,,9 Nine Way,,,,,,9999999999,nine@att.net,"Product ID: 140, Product Qty: 1, Product SKU: BK_EMedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan E-Book, Product Weight: 0.0000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5516,4233,Ten Ten,ten@gmail.com,1010101010,12/01/2019,Completed,14.99,14.99,0,0,0,,,,14.99,14.99,Authorize.net,1,0,,USD,1,,,Ten,Ten,,10 Ten Road,,Dallas,TX,75201,United States,1010101010,ten@gmail.com,Ten,Ten,,10 Ten Road,,,,,,1010101010,ten@gmail.com,"Product ID: 140, Product Qty: 1, Product SKU: BK_EMedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan E-Book, Product Weight: 0.0000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
